Lower,Upper,Proper
allergies,ALLERGIES,Allergies
hurt your liver,HURT YOUR LIVER,Hurt Your Liver
ad,AD,Ad
focus,FOCUS,Focus
died,DIED,Died
tendon damage,TENDON DAMAGE,Tendon Damage
dreams,DREAMS,Dreams
tendon rupture,TENDON RUPTURE,Tendon Rupture
withdrawal,WITHDRAWAL,Withdrawal
emotional mess,EMOTIONAL MESS,Emotional Mess
not remember,NOT REMEMBER,Not Remember
memory lapse,MEMORY LAPSE,Memory Lapse
nap,NAP,Nap
psychedelic,PSYCHEDELIC,Psychedelic
mashed,MASHED,Mashed
space cadet,SPACE CADET,Space Cadet
illness worse,ILLNESS WORSE,Illness Worse
can't eat,CAN'T EAT,Can'T Eat
allergic,ALLERGIC,Allergic
withdrawals,WITHDRAWALS,Withdrawals
hungry,HUNGRY,Hungry
nerves,NERVES,Nerves
muscle spasms,MUSCLE SPASMS,Muscle Spasms
joint pain,JOINT PAIN,Joint Pain
painful reactions,PAINFUL REACTIONS,Painful Reactions
fistula,FISTULA,Fistula
achy,ACHY,Achy
fatigue,FATIGUE,Fatigue
no immune,NO IMMUNE,No Immune
nerve damage,NERVE DAMAGE,Nerve Damage
ms like,MS LIKE,Ms Like
seizure,SEIZURE,Seizure
pain,PAIN,Pain
weakness,WEAKNESS,Weakness
rashes,RASHES,Rashes
hair is... definitely falling out,HAIR IS... DEFINITELY FALLING OUT,Hair Is... Definitely Falling Out
sick,SICK,Sick
depressed,DEPRESSED,Depressed
days of hell,DAYS OF HELL,Days Of Hell
clusterheads,CLUSTERHEADS,Clusterheads
addictive,ADDICTIVE,Addictive
can?t think,CAN?T THINK,Can?T Think
see ) straight,SEE ) STRAIGHT,See ) Straight
starvation,STARVATION,Starvation
increases hunger,INCREASES HUNGER,Increases Hunger
fat,FAT,Fat
hand shake,HAND SHAKE,Hand Shake
stopped working,STOPPED WORKING,Stopped Working
gaining,GAINING,Gaining
gain like 50 pounds,GAIN LIKE 50 POUNDS,Gain Like 50 Pounds
getting out of bed is haaard,GETTING OUT OF BED IS HAAARD,Getting Out Of Bed Is Haaard
creativity was blocked,CREATIVITY WAS BLOCKED,Creativity Was Blocked
w/d,W/D,W/D
drowsy,DROWSY,Drowsy
haze,HAZE,Haze
brain zaps,BRAIN ZAPS,Brain Zaps
genitals aren’t numb,GENITALS AREN’T NUMB,Genitals Aren’T Numb
detox,DETOX,Detox
facial spasms,FACIAL SPASMS,Facial Spasms
eye,EYE,Eye
awake,AWAKE,Awake
out of it,OUT OF IT,Out Of It
doping up,DOPING UP,Doping Up
-9.5lbs,-9.5LBS,-9.5Lbs
horrid intrusive thoughts,HORRID INTRUSIVE THOUGHTS,Horrid Intrusive Thoughts
sleep,SLEEP,Sleep
hallucinating,HALLUCINATING,Hallucinating
dry mouth,DRY MOUTH,Dry Mouth
20 hours a day  asleep,20 HOURS A DAY  ASLEEP,20 Hours A Day  Asleep
prolactin levels,PROLACTIN LEVELS,Prolactin Levels
boobs humungous,BOOBS HUMUNGOUS,Boobs Humungous
knee still painful,KNEE STILL PAINFUL,Knee Still Painful
back ache,BACK ACHE,Back Ache
lower back ache,LOWER BACK ACHE,Lower Back Ache
neck ache,NECK ACHE,Neck Ache
hips,HIPS,Hips
knees ache,KNEES ACHE,Knees Ache
short of breath,SHORT OF BREATH,Short Of Breath
frontal headache,FRONTAL HEADACHE,Frontal Headache
backache,BACKACHE,Backache
muscle &amp; back pains,MUSCLE &AMP; BACK PAINS,Muscle &Amp; Back Pains
back pains,BACK PAINS,Back Pains
not remembering,NOT REMEMBERING,Not Remembering
drowsiness,DROWSINESS,Drowsiness
sleep on my own. but i got at least 16 hours,SLEEP ON MY OWN. BUT I GOT AT LEAST 16 HOURS,Sleep On My Own. But I Got At Least 16 Hours
feel ill,FEEL ILL,Feel Ill
sugar crashes,SUGAR CRASHES,Sugar Crashes
wo n't wake up,WO N'T WAKE UP,Wo N'T Wake Up
feels like i have raw nerve endings,FEELS LIKE I HAVE RAW NERVE ENDINGS,Feels Like I Have Raw Nerve Endings
sleep for 12 straight hours,SLEEP FOR 12 STRAIGHT HOURS,Sleep For 12 Straight Hours
urge to procure food,URGE TO PROCURE FOOD,Urge To Procure Food
dependence,DEPENDENCE,Dependence
asleep,ASLEEP,Asleep
knocked me the fuck out,KNOCKED ME THE FUCK OUT,Knocked Me The Fuck Out
high,HIGH,High
drunk,DRUNK,Drunk
tolerance,TOLERANCE,Tolerance
sleep schedule,SLEEP SCHEDULE,Sleep Schedule
felt like i.had a frontal lobotomy,FELT LIKE I.HAD A FRONTAL LOBOTOMY,Felt Like I.Had A Frontal Lobotomy
puke,PUKE,Puke
shakes,SHAKES,Shakes
couldnt move,COULDNT MOVE,Couldnt Move
migraine,MIGRAINE,Migraine
nightmares,NIGHTMARES,Nightmares
insomnia,INSOMNIA,Insomnia
energy,ENERGY,Energy
tired,TIRED,Tired
no freaking motivation,NO FREAKING MOTIVATION,No Freaking Motivation
dizzy,DIZZY,Dizzy
don’t sleep well,DON’T SLEEP WELL,Don’T Sleep Well
feel crap every morning,FEEL CRAP EVERY MORNING,Feel Crap Every Morning
restless night,RESTLESS NIGHT,Restless Night
carb cravings,CARB CRAVINGS,Carb Cravings
dreamt,DREAMT,Dreamt
lost my fucking mind,LOST MY FUCKING MIND,Lost My Fucking Mind
dreamt colours,DREAMT COLOURS,Dreamt Colours
falling asleep,FALLING ASLEEP,Falling Asleep
sickest,SICKEST,Sickest
zombies,ZOMBIES,Zombies
eat because i just forget,EAT BECAUSE I JUST FORGET,Eat Because I Just Forget
hyper,HYPER,Hyper
can't. stop. moving,CAN'T. STOP. MOVING,Can'T. Stop. Moving
felt drugged,FELT DRUGGED,Felt Drugged
lose focus,LOSE FOCUS,Lose Focus
come down,COME DOWN,Come Down
zombie,ZOMBIE,Zombie
feel like crying but can't,FEEL LIKE CRYING BUT CAN'T,Feel Like Crying But Can'T
hot &amp; cold,HOT &AMP; COLD,Hot &Amp; Cold
lethargic,LETHARGIC,Lethargic
stomach is a cement mixer,STOMACH IS A CEMENT MIXER,Stomach Is A Cement Mixer
want to eat my own arm,WANT TO EAT MY OWN ARM,Want To Eat My Own Arm
 parody of an actual human being, PARODY OF AN ACTUAL HUMAN BEING, Parody Of An Actual Human Being
try for sleep,TRY FOR SLEEP,Try For Sleep
light bastard,LIGHT BASTARD,Light Bastard
wiping me out,WIPING ME OUT,Wiping Me Out
canâ€™t function,CANÂ€™T FUNCTION,Canâ€™T Function
feel like i am in a straight jacket,FEEL LIKE I AM IN A STRAIGHT JACKET,Feel Like I Am In A Straight Jacket
muscles feel stiff,MUSCLES FEEL STIFF,Muscles Feel Stiff
feel low,FEEL LOW,Feel Low
sad,SAD,Sad
subdued,SUBDUED,Subdued
lightâ€™ sleep,LIGHTÂ€™ SLEEP,Lightâ€™ Sleep
sleep problems,SLEEP PROBLEMS,Sleep Problems
 tired daytimes, TIRED DAYTIMES, Tired Daytimes
over-eaten,OVER-EATEN,Over-Eaten
interaction,INTERACTION,Interaction
sleepy,SLEEPY,Sleepy
comatose,COMATOSE,Comatose
manic,MANIC,Manic
tearful,TEARFUL,Tearful
poor nights sleep,POOR NIGHTS SLEEP,Poor Nights Sleep
withdrawing,WITHDRAWING,Withdrawing
joints killing me,JOINTS KILLING ME,Joints Killing Me
knackered,KNACKERED,Knackered
addicted,ADDICTED,Addicted
coming off,COMING OFF,Coming Off
hot and cold,HOT AND COLD,Hot And Cold
headache,HEADACHE,Headache
sickness,SICKNESS,Sickness
nausea,NAUSEA,Nausea
shivers,SHIVERS,Shivers
twitching,TWITCHING,Twitching
passing out,PASSING OUT,Passing Out
discontinuation syndrome,DISCONTINUATION SYNDROME,Discontinuation Syndrome
cold,COLD,Cold
feel like a pile of shit,FEEL LIKE A PILE OF SHIT,Feel Like A Pile Of Shit
stomach reacting,STOMACH REACTING,Stomach Reacting
slept,SLEPT,Slept
hallucinations,HALLUCINATIONS,Hallucinations
breastmilk production,BREASTMILK PRODUCTION,Breastmilk Production
allergic reaction,ALLERGIC REACTION,Allergic Reaction
rash,RASH,Rash
burp,BURP,Burp
want to ralph,WANT TO RALPH,Want To Ralph
groggy,GROGGY,Groggy
won't let me wake up,WON'T LET ME WAKE UP,Won'T Let Me Wake Up
knocks me right out,KNOCKS ME RIGHT OUT,Knocks Me Right Out
combination,COMBINATION,Combination
muscle tremors,MUSCLE TREMORS,Muscle Tremors
withdraws,WITHDRAWS,Withdraws
delirious,DELIRIOUS,Delirious
messed up,MESSED UP,Messed Up
back pain,BACK PAIN,Back Pain
crying for no reason,CRYING FOR NO REASON,Crying For No Reason
insulin blocker,INSULIN BLOCKER,Insulin Blocker
put on 20 over kg,PUT ON 20 OVER KG,Put On 20 Over Kg
hypotension,HYPOTENSION,Hypotension
biffiness,BIFFINESS,Biffiness
sleep for fifteen hours,SLEEP FOR FIFTEEN HOURS,Sleep For Fifteen Hours
hands shake,HANDS SHAKE,Hands Shake
cognitive problems,COGNITIVE PROBLEMS,Cognitive Problems
kidney stones,KIDNEY STONES,Kidney Stones
parasthesia,PARASTHESIA,Parasthesia
going though hell,GOING THOUGH HELL,Going Though Hell
extra 20kg,EXTRA 20KG,Extra 20Kg
put on weight ,PUT ON WEIGHT ,Put On Weight 
coming off venlafaxine,COMING OFF VENLAFAXINE,Coming Off Venlafaxine
symptom free,SYMPTOM FREE,Symptom Free
wake up at 2:30,WAKE UP AT 2:30,Wake Up At 2:30
half your day sleeping,HALF YOUR DAY SLEEPING,Half Your Day Sleeping
eyes are outta focus,EYES ARE OUTTA FOCUS,Eyes Are Outta Focus
can't walk straight,CAN'T WALK STRAIGHT,Can'T Walk Straight
ruined my creativity,RUINED MY CREATIVITY,Ruined My Creativity
memory now is awful,MEMORY NOW IS AWFUL,Memory Now Is Awful
stupid head,STUPID HEAD,Stupid Head
revved up,REVVED UP,Revved Up
bloated,BLOATED,Bloated
heart was beating wicked fast,HEART WAS BEATING WICKED FAST,Heart Was Beating Wicked Fast
holes in my head,HOLES IN MY HEAD,Holes In My Head
can't walk,CAN'T WALK,Can'T Walk
crippled,CRIPPLED,Crippled
not sleeping,NOT SLEEPING,Not Sleeping
increase my appetite,INCREASE MY APPETITE,Increase My Appetite
hypo manic mixed episode,HYPO MANIC MIXED EPISODE,Hypo Manic Mixed Episode
brain's always scattered,BRAIN'S ALWAYS SCATTERED,Brain'S Always Scattered
achille's,ACHILLE'S,Achille'S
shitty feeling when you wake up,SHITTY FEELING WHEN YOU WAKE UP,Shitty Feeling When You Wake Up
cognitive issues,COGNITIVE ISSUES,Cognitive Issues
headaches,HEADACHES,Headaches
tendonitis,TENDONITIS,Tendonitis
struggled to get out of the bath,STRUGGLED TO GET OUT OF THE BATH,Struggled To Get Out Of The Bath
ruptures,RUPTURES,Ruptures
hobbling,HOBBLING,Hobbling
hairloss,HAIRLOSS,Hairloss
itchy scalp,ITCHY SCALP,Itchy Scalp
half-asleep,HALF-ASLEEP,Half-Asleep
sleeping,SLEEPING,Sleeping
