Lower,Upper,Proper
avelox,AVELOX,Avelox
baclofen,BACLOFEN,Baclofen
cipro,CIPRO,Cipro
robitussin,ROBITUSSIN,Robitussin
cymbalta,CYMBALTA,Cymbalta
duloxetine,DULOXETINE,Duloxetine
effexor,EFFEXOR,Effexor
enbrel,ENBREL,Enbrel
fluoxetine,FLUOXETINE,Fluoxetine
geodon,GEODON,Geodon
humira,HUMIRA,Humira
lamictal,LAMICTAL,Lamictal
lamotrigine,LAMOTRIGINE,Lamotrigine
levaquin,LEVAQUIN,Levaquin
lozenge,LOZENGE,Lozenge
namenda,NAMENDA,Namenda
olanzapine,OLANZAPINE,Olanzapine
paxil,PAXIL,Paxil
pregabalin,PREGABALIN,Pregabalin
pristiq,PRISTIQ,Pristiq
prozac,PROZAC,Prozac
quetiapine,QUETIAPINE,Quetiapine
tramadol,TRAMADOL,Tramadol
rivaroxaban,RIVAROXABAN,Rivaroxaban
seroquel,SEROQUEL,Seroquel
trazodone,TRAZODONE,Trazodone
venlafaxine,VENLAFAXINE,Venlafaxine
viibryd,VIIBRYD,Viibryd
vyvanse,VYVANSE,Vyvanse
ritalin,RITALIN,Ritalin
ofloxacin,OFLOXACIN,Ofloxacin
zyprexa,ZYPREXA,Zyprexa
vanlafaxine,VANLAFAXINE,Vanlafaxine
citalopram,CITALOPRAM,Citalopram
melatonin,MELATONIN,Melatonin
memantine,MEMANTINE,Memantine
ziprasidone,ZIPRASIDONE,Ziprasidone
zoloft,ZOLOFT,Zoloft
valproate,VALPROATE,Valproate
lexapro,LEXAPRO,Lexapro
topomax,TOPOMAX,Topomax
paroxetine,PAROXETINE,Paroxetine
lyrica,LYRICA,Lyrica
tysabri,TYSABRI,Tysabri
nicotine,NICOTINE,Nicotine
norfloxacin,NORFLOXACIN,Norfloxacin
percocet,PERCOCET,Percocet
metoprolol,METOPROLOL,Metoprolol
leflunomide,LEFLUNOMIDE,Leflunomide
zometa,ZOMETA,Zometa
mtx,MTX,Mtx
infliximab,INFLIXIMAB,Infliximab
cimzia,CIMZIA,Cimzia
juxtapid,JUXTAPID,Juxtapid
adderall,ADDERALL,Adderall
victoza,VICTOZA,Victoza
etanercept,ETANERCEPT,Etanercept
metho,METHO,Metho
abilify,ABILIFY,Abilify
mirtazapine,MIRTAZAPINE,Mirtazapine
topiramate,TOPIRAMATE,Topiramate
alprazolam,ALPRAZOLAM,Alprazolam
gamma,GAMMA,Gamma
fanapt,FANAPT,Fanapt
remicade,REMICADE,Remicade
xarelto,XARELTO,Xarelto
tamazapam,TAMAZAPAM,Tamazapam
ambien,AMBIEN,Ambien
boniva,BONIVA,Boniva
effient,EFFIENT,Effient
saphris,SAPHRIS,Saphris
vimpat,VIMPAT,Vimpat
remicaid,REMICAID,Remicaid
amisulpride,AMISULPRIDE,Amisulpride
lamitol,LAMITOL,Lamitol
nasal spray,NASAL SPRAY,Nasal Spray
depakote,DEPAKOTE,Depakote
tamiflu,TAMIFLU,Tamiflu
