adverse,LLT
abdomen enlarged,[10000045]
abdominal bloating,[10048746]
abdominal cramps,[10000057]
abdominal crampy pains,[10000058]
abdominal discomfort,[10000059]
abdominal hernia,[10060954]
abdominal infection,[10056519]
abdominal mass,[10000077]
abdominal pain,[10000081]
abdominal tenderness,[10000097]
abnormal behaviour,[10061422]
abnormal dreams,[10000125]
abnormal faeces,[10000133]
abnormal feces,[10000134]
abnormal hair growth,[10000147]
abnormal sensation in eye,[10000173]
abnormal stools,[10000181]
abscess,[10000269]
absence attacks,[10000321]
absence of menstruation,[10000326]
absent-minded,[10067170]
ache,[10000424]
achilles tendon pain,[10050471]
aching in limb,[10000448]
acne,[10000496]
addiction,[10001125]
adhd,[10064104]
after taste,[10001464]
aggression,[10001488]
aggressive behavior,[10062375]
aggressive behaviour,[10001490]
aggressiveness,[10001494]
agitated,[10001495]
agitation,[10001497]
agoraphobia,[10001502]
airways obstruction,[10001539]
alcohol abuse,[10001584]
alertness decreased,[10049875]
allergic rash,[10001717]
allergic reaction,[10001718]
allergic rhinitis,[10001723]
allergy,[10001738]
allergy to chemicals,[10061626]
altered smell sensation,[10001853]
anaemia,[10002034]
anal bleeding,[10049563]
anal fissure,[10002153]
anal pain,[10002167]
anaphylactic reaction,[10002198]
anemia,[10002272]
aneurysm,[10002329]
anger,[10002368]
angina attack,[10002377]
anginal pain,[10002391]
ankle fracture,[10002544]
ankle swelling,[10002553]
anxiety,[10002855]
anxiety attack,[10002856]
anxious mood,[10002875]
aortic aneurysm,[10002882]
aortic valve disease,[10061589]
aortic valve incompetence,[10002915]
apathy,[10002942]
appendicitis,[10003011]
appetite lost,[10003028]
application site blister,[10053414]
application site burn,[10065059]
application site burning,[10048942]
application site discharge,[10052162]
application site dryness,[10048943]
application site infection,[10049041]
application site inflammation,[10049042]
application site irritation,[10003046]
application site itching,[10003047]
application site pain,[10003051]
application site rash,[10003054]
application site reaction,[10003055]
application site redness,[10003058]
application site swelling,[10053424]
application site ulcer,[10003059]
application site warmth,[10003060]
arm discomfort,[10049877]
arm paralysis,[10003098]
arrhythmia,[10003119]
arteriosclerosis,[10003210]
arthritis,[10003246]
asthma,[10003553]
asthmatic attack,[10003566]
astigmatism,[10003569]
atherosclerosis,[10003601]
atrial fibrillation,[10003658]
attention deficit disorder,[10003731]
attention deficit/hyperactivity disorder,[10003736]
auditory hallucinations,[10003785]
aura,[10003791]
autism,[10003805]
back ache,[10003978]
back discomfort,[10003982]
back injury,[10003986]
back muscle spasms,[10067893]
back pain,[10003988]
bacterial infection,[10060945]
bad breath,[10004062]
bad dreams,[10004063]
bad mood,[10004064]
balance difficulty,[10004070]
basal cell carcinoma,[10004146]
bed sore,[10004196]
bed wetting,[10004197]
belching,[10004222]
bell's palsy,[10004223]
belly ache,[10004226]
binge eating,[10004716]
bipolar disorder,[10057667]
birth defects,[10048305]
bizarre dreams,[10004969]
black stools,[10004977]
blacked out,[10004979]
blackout,[10004982]
bladder cancer,[10005003]
bladder discomfort,[10005034]
bladder infection,[10005047]
bladder pain,[10005063]
